gene_index,gene_id,chromosome,start_site,feature,strand
44486,SMG1-DT,NC_000016.10,18926187,gene,+
44487,TMC7,NC_000016.10,18983934,gene,+
44488,RNU6-1340P,NC_000016.10,19012157,gene,+
44489,COQ7-DT,NC_000016.10,19062754,gene,-
44490,COQ7,NC_000016.10,19067614,gene,+
44490,CAT5,NC_000016.10,19067614,gene,+
44491,LOC124903656,NC_000016.10,19091936,gene,+
44492,ITPRIPL2,NC_000016.10,19113964,gene,+
44492,D1C,NC_000016.10,19113964,gene,+
44493,LOC124903657,NC_000016.10,19126846,gene,+
44494,SYT17,NC_000016.10,19167834,gene,+
44494,Syt-17,NC_000016.10,19167834,gene,+
44495,LOC124903658,NC_000016.10,19180748,gene,-
44496,CLEC19A,NC_000016.10,19285731,gene,+
44497,LOC124903781,NC_000016.10,19325526,gene,+
44498,LINC02858,NC_000016.10,19334175,gene,+
44499,LOC105371114,NC_000016.10,19354457,gene,-
44500,TMC5,NC_000016.10,19410539,gene,+
44501,LOC124903659,NC_000016.10,19459960,gene,-
44502,RNU4-46P,NC_000016.10,19498610,gene,+
44503,GDE1,NC_000016.10,19501693,gene,-
44503,363E6.2,NC_000016.10,19501693,gene,-
44504,CCP110,NC_000016.10,19523942,gene,+
44504,Cep110,NC_000016.10,19523942,gene,+
44505,VPS35L,NC_000016.10,19555703,gene,+
44505,C16orf62,NC_000016.10,19555703,gene,+
44506,KNOP1,NC_000016.10,19701937,gene,-
44506,101F10.1,NC_000016.10,19701937,gene,-
44507,IQCK,NC_000016.10,19718271,gene,+
44508,LOC105371115,NC_000016.10,19760761,gene,-
44509,LARP7P2,NC_000016.10,19819504,gene,-
44510,GPRC5B,NC_000016.10,19856691,gene,-
44510,MLC3,NC_000016.10,19856691,gene,-
44511,LOC105371116,NC_000016.10,19923602,gene,+
44512,LOC105371117,NC_000016.10,19976369,gene,+
44513,LOC124903660,NC_000016.10,19981381,gene,+
44514,GPR139,NC_000016.10,20028239,gene,-
44514,GPRg1,NC_000016.10,20028239,gene,-
44515,SALL4P3,NC_000016.10,20155582,gene,+
44516,LOC102723396,NC_000016.10,20220806,gene,-
44517,SNRPEP3,NC_000016.10,20238817,gene,-
44518,GP2,NC_000016.10,20309574,gene,-
44518,ZAP75,NC_000016.10,20309574,gene,-
44519,UMOD,NC_000016.10,20333051,gene,-
44519,ADMCKD2,NC_000016.10,20333051,gene,-
44520,PDILT,NC_000016.10,20359175,gene,-
44520,PDIA7,NC_000016.10,20359175,gene,-
44521,ACSM5,NC_000016.10,20409534,gene,+
44522,LOC105371119,NC_000016.10,20441393,gene,-
44523,ACSM2A,NC_000016.10,20451521,gene,+
44523,A-923A4.1,NC_000016.10,20451521,gene,+
44524,ACSM2B,NC_000016.10,20536226,gene,-
44524,ACSM2,NC_000016.10,20536226,gene,-
44525,LOC105371120,NC_000016.10,20578996,gene,+
44526,LOC112267906,NC_000016.10,20587472,gene,-
44527,ACSM5P1,NC_000016.10,20603912,gene,-
44528,LOC107984831,NC_000016.10,20610178,gene,+
44529,ACSM1,NC_000016.10,20623235,gene,-
44529,BUCS1,NC_000016.10,20623235,gene,-
44530,ACSM3,NC_000016.10,20674405,gene,+
44530,SA,NC_000016.10,20674405,gene,+
44531,LOC124903661,NC_000016.10,20701189,gene,-
44532,LOC100887080,NC_000016.10,20711426,gene,+
44533,THUMPD1,NC_000016.10,20733664,gene,-
44533,NEDSOA,NC_000016.10,20733664,gene,-
44534,ERI2,NC_000016.10,20780193,gene,-
44534,EXOD1,NC_000016.10,20780193,gene,-
44535,RNU6-944P,NC_000016.10,20784509,gene,+
44536,REXO5,NC_000016.10,20806425,gene,+
44536,NEF-sp,NC_000016.10,20806425,gene,+
44537,LOC105371121,NC_000016.10,20830579,gene,-
44538,DCUN1D3,NC_000016.10,20854925,gene,-
44538,44M2.4,NC_000016.10,20854925,gene,-
44539,LYRM1,NC_000016.10,20899882,gene,+
44539,A211C6.1,NC_000016.10,20899882,gene,+
44540,DNAH3,NC_000016.10,20933111,gene,-
44540,DNAHC3-B,NC_000016.10,20933111,gene,-
44541,LOC107984888,NC_000016.10,21116431,gene,+
44542,LDAF1,NC_000016.10,21158674,gene,+
44542,TMEM159,NC_000016.10,21158674,gene,+
44543,ZP2,NC_000016.10,21197450,gene,-
44543,OOMD6,NC_000016.10,21197450,gene,-
44544,LOC105371123,NC_000016.10,21226764,gene,-
44545,ANKS4B,NC_000016.10,21233699,gene,+
44545,HARP,NC_000016.10,21233699,gene,+
44546,CRYM,NC_000016.10,21258521,gene,-
44546,DFNA40,NC_000016.10,21258521,gene,-
44547,LOC105371125,NC_000016.10,21290470,gene,+
44548,ABCA15P,NC_000016.10,21300849,gene,+
44548,CRYM-AS1,NC_000016.10,21300849,gene,+
44549,SNX29P1,NC_000016.10,21349363,gene,+
44549,RUNDC2B,NC_000016.10,21349363,gene,+
44550,NPIPB3,NC_000016.10,21402129,gene,-
44550,KIAA0220L,NC_000016.10,21402129,gene,-
44551,LOC100190986,NC_000016.10,21432003,gene,-
44552,SMG1P3,NC_000016.10,21446683,gene,-
44553,LOC124903800,NC_000016.10,21457326,gene,-
44554,LOC124903662,NC_000016.10,21502311,gene,+
44555,MIR3680-1,NC_000016.10,21506049,gene,-
44555,hsa-mir-3680-1,NC_000016.10,21506049,gene,-
44556,SLC7A5P2,NC_000016.10,21517893,gene,-
44556,IMAA,NC_000016.10,21517893,gene,-
44557,LOC646828,NC_000016.10,21532885,gene,-
44558,LOC101927814,NC_000016.10,21589698,gene,-
44559,METTL9,NC_000016.10,21597208,gene,+
44559,CGI-81,NC_000016.10,21597208,gene,+
44560,IGSF6,NC_000016.10,21639550,gene,-
44560,DORA,NC_000016.10,21639550,gene,-
44561,RNU6-1005P,NC_000016.10,21642054,gene,+
44562,RNU6-196P,NC_000016.10,21642294,gene,+
44563,LOC124903663,NC_000016.10,21644396,gene,+
44564,OTOA,NC_000016.10,21663968,gene,+
44564,CT108,NC_000016.10,21663968,gene,+
44565,LOC105371126,NC_000016.10,21761322,gene,-
44566,RRN3P1,NC_000016.10,21796630,gene,-
44567,LOC112268174,NC_000016.10,21833631,gene,+
44568,NPIPB4,NC_000016.10,21834582,gene,-
44568,61E3.4,NC_000016.10,21834582,gene,-
44569,SMG1P4,NC_000016.10,21879337,gene,-
44570,LOC124903801,NC_000016.10,21889567,gene,-
44571,ABCA3P1,NC_000016.10,21938865,gene,+
44572,UQCRC2,NC_000016.10,21953361,gene,+
44572,MC3DN5,NC_000016.10,21953361,gene,+
44573,PDZD9,NC_000016.10,21957540,gene,-
44573,C16orf65,NC_000016.10,21957540,gene,-
44574,LOC100420644,NC_000016.10,21980095,gene,+
44575,LOC100420536,NC_000016.10,21998808,gene,+
44576,MOSMO,NC_000016.10,22008111,gene,+
44576,ATTHOG,NC_000016.10,22008111,gene,+
44577,LOC124903665,NC_000016.10,22064424,gene,-
44578,LOC105371129,NC_000016.10,22085795,gene,-
44579,VWA3A,NC_000016.10,22092541,gene,+
44580,SDR42E2,NC_000016.10,22162506,gene,+
44581,LOC124903666,NC_000016.10,22181908,gene,-
44582,TRL-TAG3-1,NC_000016.10,22195711,gene,-
44583,EEF2K,NC_000016.10,22206278,gene,+
44583,CaMKIII,NC_000016.10,22206278,gene,+
44584,TRL-AAG2-4,NC_000016.10,22297140,gene,+
44585,POLR3E,NC_000016.10,22297409,gene,+
44585,C37,NC_000016.10,22297409,gene,+
44586,LOC124903664,NC_000016.10,22333910,gene,-
44587,CDR2,NC_000016.10,22345936,gene,-
44587,CDR62,NC_000016.10,22345936,gene,-
44588,CDR2-DT,NC_000016.10,22374887,gene,+
44589,MFSD13B,NC_000016.10,22385769,gene,+
44590,RRN3P3,NC_000016.10,22418672,gene,-
44591,SMG1P1,NC_000016.10,22437008,gene,+
44592,LOC124903802,NC_000016.10,22481474,gene,+
44593,NPIPB5,NC_000016.10,22503599,gene,+
44594,LOC105371131,NC_000016.10,22513421,gene,-
44595,OTOAP1,NC_000016.10,22545698,gene,+
44596,LOC112268175,NC_000016.10,22577464,gene,-
44597,LINC02890,NC_000016.10,22610532,gene,-
44598,LOC107984851,NC_000016.10,22807644,gene,-
44599,HS3ST2,NC_000016.10,22814162,gene,+
44599,30ST2,NC_000016.10,22814162,gene,+
44600,LOC112268176,NC_000016.10,23020300,gene,+
44601,USP31,NC_000016.10,23061406,gene,-
44602,SCNN1G,NC_000016.10,23182745,gene,+
44602,BESC3,NC_000016.10,23182745,gene,+
44603,SCNN1B,NC_000016.10,23278231,gene,+
44603,BESC1,NC_000016.10,23278231,gene,+
44604,COG7,NC_000016.10,23388493,gene,-
44604,CDG2E,NC_000016.10,23388493,gene,-
44605,RN7SKP23,NC_000016.10,23412380,gene,+
44606,LOC124903667,NC_000016.10,23452743,gene,+
44607,GGA2,NC_000016.10,23463542,gene,-
44607,VEAR,NC_000016.10,23463542,gene,-
44608,CCNYL7,NC_000016.10,23500839,gene,+
44609,EARS2,NC_000016.10,23520754,gene,-
44609,COXPD12,NC_000016.10,23520754,gene,-
44610,SUB1P4,NC_000016.10,23537004,gene,+
44611,UBFD1,NC_000016.10,23557727,gene,+
44611,UBPH,NC_000016.10,23557727,gene,+
44612,NDUFAB1,NC_000016.10,23581014,gene,-
44612,ACP,NC_000016.10,23581014,gene,-
44613,PALB2,NC_000016.10,23603165,gene,-
44613,BROVCA5,NC_000016.10,23603165,gene,-
44614,DCTN5,NC_000016.10,23641466,gene,+
44615,PLK1,NC_000016.10,23678889,gene,+
44615,PLK,NC_000016.10,23678889,gene,+
44616,ERN2,NC_000016.10,23690310,gene,-
44616,hIRE2p,NC_000016.10,23690310,gene,-
44617,CHP2,NC_000016.10,23755026,gene,+
44618,PRKCB,NC_000016.10,23835983,gene,+
44618,PKC-beta,NC_000016.10,23835983,gene,+
44619,MIR1273H,NC_000016.10,24203116,gene,+
44619,hsa-mir-1273h,NC_000016.10,24203116,gene,+
44620,LINC02194,NC_000016.10,24236104,gene,+
44620,LINC2194,NC_000016.10,24236104,gene,+
44621,CACNG3,NC_000016.10,24256335,gene,+
44622,LOC124900377,NC_000016.10,24333415,gene,-
44623,RNU7-24P,NC_000016.10,24400062,gene,-
44623,HSU7.24,NC_000016.10,24400062,gene,-
44624,LOC105371143,NC_000016.10,24465526,gene,-
44625,RBBP6,NC_000016.10,24539566,gene,+
44625,MY038,NC_000016.10,24539566,gene,+
44626,LOC107984829,NC_000016.10,24606846,gene,-
44627,TNRC6A,NC_000016.10,24610205,gene,+
44627,CAGH26,NC_000016.10,24610205,gene,+
44628,LINC01567,NC_000016.10,24661422,gene,-
44628,LOCCS,NC_000016.10,24661422,gene,-
44629,SLC5A11,NC_000016.10,24845963,gene,+
44629,KST1,NC_000016.10,24845963,gene,+
44630,ARHGAP17,NC_000016.10,24919389,gene,-
44630,MST066,NC_000016.10,24919389,gene,-
44631,LOC100421171,NC_000016.10,25015978,gene,+
44632,LOC554206,NC_000016.10,25031741,gene,+
44633,LINC02175,NC_000016.10,25066887,gene,+
44634,SCML2P2,NC_000016.10,25069572,gene,+
44635,LOC100421169,NC_000016.10,25071521,gene,-
44636,LOC100421173,NC_000016.10,25093411,gene,+
44637,LCMT1-AS1,NC_000016.10,25100564,gene,-
44638,LCMT1,NC_000016.10,25111742,gene,+
44638,CGI-68,NC_000016.10,25111742,gene,+
44639,LCMT1-AS2,NC_000016.10,25140571,gene,-
44640,RN7SL557P,NC_000016.10,25185253,gene,-
44641,AQP8,NC_000016.10,25216947,gene,+
44641,AQP-8,NC_000016.10,25216947,gene,+
44642,ZKSCAN2,NC_000016.10,25236001,gene,-
44642,ZNF694,NC_000016.10,25236001,gene,-
44643,ZKSCAN2-DT,NC_000016.10,25257577,gene,+
44644,LINC02191,NC_000016.10,25419812,gene,-
44645,CYCSP39,NC_000016.10,25454141,gene,-
44645,HC1,NC_000016.10,25454141,gene,-
44646,LOC105371147,NC_000016.10,25495808,gene,+
44647,LOC105369297,NC_000016.10,25649388,gene,-
44648,HS3ST4,NC_000016.10,25691959,gene,+
44648,3-OST-4,NC_000016.10,25691959,gene,+
44649,LOC100420641,NC_000016.10,25825400,gene,-
44650,MIR548W,NC_000016.10,26025237,gene,+
44651,RNA5SP405,NC_000016.10,26028912,gene,+
44651,RN5S405,NC_000016.10,26028912,gene,+
44652,HMGN2P3,NC_000016.10,26031717,gene,-
44652,HMGN2L3,NC_000016.10,26031717,gene,-
44653,HSPE1P16,NC_000016.10,26062630,gene,-
44653,EPF8,NC_000016.10,26062630,gene,-
44654,LOC105371149,NC_000016.10,26269108,gene,-
44655,LOC105371150,NC_000016.10,26280486,gene,-
44656,LOC102723536,NC_000016.10,26318133,gene,+
44657,LINC02195,NC_000016.10,26584759,gene,-
44658,LOC105371153,NC_000016.10,27044075,gene,-
44659,LOC105371154,NC_000016.10,27061984,gene,-
44660,C16orf82,NC_000016.10,27066927,gene,+
44660,TNT,NC_000016.10,27066927,gene,+
44661,EEF1A1P38,NC_000016.10,27133304,gene,-
44662,LOC105371155,NC_000016.10,27151310,gene,-
44663,LINC02129,NC_000016.10,27158611,gene,-
44664,KDM8,NC_000016.10,27203526,gene,+
44664,JMJD5,NC_000016.10,27203526,gene,+
44665,NSMCE1,NC_000016.10,27224994,gene,-
44665,NSE1,NC_000016.10,27224994,gene,-
44666,NSMCE1-DT,NC_000016.10,27268205,gene,+
44667,IL4R,NC_000016.10,27313756,gene,+
44667,CD124,NC_000016.10,27313756,gene,+
44668,IL21R,NC_000016.10,27402174,gene,+
44668,CD360,NC_000016.10,27402174,gene,+
44669,LOC124903668,NC_000016.10,27442655,gene,-
44670,IL21R-AS1,NC_000016.10,27447669,gene,-
44671,GTF3C1,NC_000016.10,27460613,gene,-
44671,TFIIIC,NC_000016.10,27460613,gene,-
44672,KATNIP,NC_000016.10,27550144,gene,+
44672,JBTS26,NC_000016.10,27550144,gene,+
44673,LOC107984874,NC_000016.10,27662730,gene,-
44674,LOC100128079,NC_000016.10,27708421,gene,-
44675,LOC105371157,NC_000016.10,27746316,gene,-
44676,GSG1L,NC_000016.10,27787528,gene,-
44676,PRO19651,NC_000016.10,27787528,gene,-
44677,RNU6-159P,NC_000016.10,27863251,gene,+
44678,RNU6-1241P,NC_000016.10,27998295,gene,-
44679,LOC124903669,NC_000016.10,28097490,gene,+
44680,XPO6,NC_000016.10,28097976,gene,-
44680,EXP6,NC_000016.10,28097976,gene,-
44681,TPRKBP2,NC_000016.10,28111173,gene,-
44682,LOC124900376,NC_000016.10,28179098,gene,+
44683,RNY1P10,NC_000016.10,28183318,gene,+
44684,GAPDHP35,NC_000016.10,28239483,gene,-
44685,SBK1,NC_000016.10,28258681,gene,+
44685,SBK,NC_000016.10,28258681,gene,+
44686,LOC124903670,NC_000016.10,28284829,gene,-
44687,NPIPB6,NC_000016.10,28342517,gene,-
44687,NPIPB,NC_000016.10,28342517,gene,-
44688,EIF3CL,NC_000016.10,28379581,gene,-
44689,MIR6862-1,NC_000016.10,28390982,gene,-
44689,hsa-mir-6862-1,NC_000016.10,28390982,gene,-
44690,CDC37P2,NC_000016.10,28413748,gene,+
44691,LOC124903790,NC_000016.10,28442666,gene,+
44692,NPIPB7,NC_000016.10,28456329,gene,-
44692,A-575C2.4,NC_000016.10,28456329,gene,-
44693,CLN3,NC_000016.10,28466653,gene,-
44693,BTN1,NC_000016.10,28466653,gene,-
44694,APOBR,NC_000016.10,28494643,gene,+
44694,APOB100R,NC_000016.10,28494643,gene,+
44695,IL27,NC_000016.10,28499362,gene,-
44695,IL-27,NC_000016.10,28499362,gene,-
44696,NUPR1,NC_000016.10,28532708,gene,-
44696,COM1,NC_000016.10,28532708,gene,-
44697,SGF29,NC_000016.10,28553920,gene,+
44697,CCDC101,NC_000016.10,28553920,gene,+
44698,SULT1A2,NC_000016.10,28591943,gene,-
44698,HAST4,NC_000016.10,28591943,gene,-
44699,SULT1A1,NC_000016.10,28605258,gene,-
44699,HAST1/HAST2,NC_000016.10,28605258,gene,-
44700,LOC107984835,NC_000016.10,28610186,gene,+
44701,LOC124903674,NC_000016.10,28610700,gene,-
44702,NPIPB8,NC_000016.10,28637891,gene,+
44703,LOC124903791,NC_000016.10,28672233,gene,-
44704,EIF3C,NC_000016.10,28688558,gene,+
44704,eIF3-p110,NC_000016.10,28688558,gene,+
44705,CDC37P1,NC_000016.10,28701199,gene,-
44705,A-761H5.2,NC_000016.10,28701199,gene,-
44706,MIR6862-2,NC_000016.10,28724252,gene,+
44706,hsa-mir-6862-2,NC_000016.10,28724252,gene,+
44707,LOC124903761,NC_000016.10,28749055,gene,+
44708,PAWRP2,NC_000016.10,28749962,gene,-
44709,NPIPB9,NC_000016.10,28751787,gene,+
44710,PLA2G10KP,NC_000016.10,28773824,gene,-
44711,LOC124903792,NC_000016.10,28786410,gene,-
44712,RPS15AP33,NC_000016.10,28813942,gene,-
44712,RPS15A_21_1479,NC_000016.10,28813942,gene,-
44713,LOC124903672,NC_000016.10,28819091,gene,-
44714,ATXN2L,NC_000016.10,28822999,gene,+
44714,A2D,NC_000016.10,28822999,gene,+
44715,TUFM,NC_000016.10,28842411,gene,-
44715,COXPD4,NC_000016.10,28842411,gene,-
44716,MIR4721,NC_000016.10,28843919,gene,-
44717,SH2B1,NC_000016.10,28846606,gene,+
44717,PSM,NC_000016.10,28846606,gene,+
44718,ATP2A1,NC_000016.10,28878488,gene,+
44718,ATP2A,NC_000016.10,28878488,gene,+
44719,ATP2A1-AS1,NC_000016.10,28878957,gene,-
44720,RABEP2,NC_000016.10,28904421,gene,-
44720,FRA,NC_000016.10,28904421,gene,-
44721,CD19,NC_000016.10,28931971,gene,+
44721,B4,NC_000016.10,28931971,gene,+
44722,NFATC2IP,NC_000016.10,28950937,gene,+
44722,ESC2,NC_000016.10,28950937,gene,+
44723,NFATC2IP-AS1,NC_000016.10,28952902,gene,-
44724,MIR4517,NC_000016.10,28958583,gene,+
44724,mir-4517,NC_000016.10,28958583,gene,+
44725,SPNS1,NC_000016.10,28974778,gene,+
44725,HSpin1,NC_000016.10,28974778,gene,+
44726,LAT,NC_000016.10,28984803,gene,+
44726,IMD52,NC_000016.10,28984803,gene,+
44727,NPIPB10P,NC_000016.10,29037834,gene,+
44727,NPIP,NC_000016.10,29037834,gene,+
44728,PLA2G10CP,NC_000016.10,29053732,gene,-
44729,LOC124903793,NC_000016.10,29066255,gene,-
44730,RRN3P2,NC_000016.10,29074842,gene,+
44731,LOC101928215,NC_000016.10,29104510,gene,-
44732,LOC124903671,NC_000016.10,29127070,gene,-
44733,LOC100129184,NC_000016.10,29129557,gene,-
44734,LOC101928188,NC_000016.10,29211366,gene,-
44735,LOC102723708,NC_000016.10,29225583,gene,-
44736,LOC124903676,NC_000016.10,29256044,gene,-
44737,LOC105371159,NC_000016.10,29281720,gene,-
44738,SNX29P2,NC_000016.10,29302287,gene,+
44738,RUNDC2C,NC_000016.10,29302287,gene,+
44739,NPIPB11,NC_000016.10,29381167,gene,-
44739,NPIP,NC_000016.10,29381167,gene,-
44740,SMG1P6,NC_000016.10,29425411,gene,-
44741,LOC124903796,NC_000016.10,29437497,gene,-
44742,BOLA2-SMG1P6,NC_000016.10,29442905,gene,-
44743,LOC606724,NC_000016.10,29449345,gene,+
44744,BOLA2,NC_000016.10,29453588,gene,-
44744,BOLA2A,NC_000016.10,29453588,gene,-
44745,SLX1B,NC_000016.10,29454533,gene,+
44745,GIYD2,NC_000016.10,29454533,gene,+
44746,SLX1B-SULT1A4,NC_000016.10,29455091,gene,+
44747,SULT1A4,NC_000016.10,29459913,gene,+
44747,HAST3,NC_000016.10,29459913,gene,+
44748,LOC388242,NC_000016.10,29464967,gene,-
44749,PLA2G10HP,NC_000016.10,29478879,gene,+
44750,NPIPB12,NC_000016.10,29483534,gene,-
44751,LOC124903797,NC_000016.10,29539262,gene,-
44752,SMG1P2,NC_000016.10,29545011,gene,-
44753,LOC105371168,NC_000016.10,29597791,gene,+
44754,MIR3680-2,NC_000016.10,29599179,gene,-
44755,SLC7A5P1,NC_000016.10,29613103,gene,-
44755,DC49,NC_000016.10,29613103,gene,-
44756,CA5AP1,NC_000016.10,29618669,gene,-
44756,CA5P,NC_000016.10,29618669,gene,-
44757,SPN,NC_000016.10,29662963,gene,+
44757,CD43,NC_000016.10,29662963,gene,+
44758,QPRT,NC_000016.10,29679008,gene,+
44758,HEL-S-90n,NC_000016.10,29679008,gene,+
44759,RN7SKP127,NC_000016.10,29731051,gene,-
44760,C16orf54,NC_000016.10,29742463,gene,-
44760,SAIL,NC_000016.10,29742463,gene,-
44761,LOC124903673,NC_000016.10,29745247,gene,+
44762,ZG16,NC_000016.10,29778256,gene,+
44762,JCLN,NC_000016.10,29778256,gene,+
44763,LOC124903675,NC_000016.10,29782967,gene,-
44764,LOC105371167,NC_000016.10,29787513,gene,+
44765,KIF22,NC_000016.10,29790751,gene,+
44765,A-328A3.2,NC_000016.10,29790751,gene,+
44766,MAZ,NC_000016.10,29806124,gene,+
44766,Pur-1,NC_000016.10,29806124,gene,+
44767,MVP-DT,NC_000016.10,29808644,gene,-
44768,PRRT2,NC_000016.10,29812193,gene,+
44768,BFIC2,NC_000016.10,29812193,gene,+
44769,PAGR1,NC_000016.10,29816152,gene,+
44769,C16orf53,NC_000016.10,29816152,gene,+
44770,MVP,NC_000016.10,29820394,gene,+
44770,LRP,NC_000016.10,29820394,gene,+
44771,CDIPT,NC_000016.10,29858357,gene,-
44771,PIS,NC_000016.10,29858357,gene,-
44772,CDIPTOSP,NC_000016.10,29863683,gene,+
44772,CDIPT-AS1,NC_000016.10,29863683,gene,+
44773,SEZ6L2,NC_000016.10,29871159,gene,-
44773,BSRPA,NC_000016.10,29871159,gene,-
44774,ASPHD1,NC_000016.10,29900363,gene,+
44775,KCTD13,NC_000016.10,29906339,gene,-
44775,BACURD1,NC_000016.10,29906339,gene,-
44776,KCTD13-DT,NC_000016.10,29926223,gene,+
44777,TMEM219,NC_000016.10,29962079,gene,+
44777,IGFBP-3R,NC_000016.10,29962079,gene,+
44778,LOC124903762,NC_000016.10,29973622,gene,+
44779,TAOK2,NC_000016.10,29973868,gene,+
44779,MAP3K17,NC_000016.10,29973868,gene,+
44780,HIRIP3,NC_000016.10,29992321,gene,-
44781,INO80E,NC_000016.10,29996241,gene,+
44781,CCDC95,NC_000016.10,29996241,gene,+
44782,DOC2A,NC_000016.10,30005514,gene,-
44782,Doc2,NC_000016.10,30005514,gene,-
44783,C16orf92,NC_000016.10,30023198,gene,+
44783,FIMP,NC_000016.10,30023198,gene,+
44784,TLCD3B,NC_000016.10,30024427,gene,-
44784,CORD22,NC_000016.10,30024427,gene,-
44785,LOC112694756,NC_000016.10,30053151,gene,+
44785,ALDA,NC_000016.10,30053151,gene,+
44786,ALDOA,NC_000016.10,30064279,gene,+
44786,ALDA,NC_000016.10,30064279,gene,+
44787,PPP4C,NC_000016.10,30075994,gene,+
44787,PP-X,NC_000016.10,30075994,gene,+
44788,TBX6,NC_000016.10,30085793,gene,-
44788,SCDO5,NC_000016.10,30085793,gene,-
44789,YPEL3,NC_000016.10,30092314,gene,-
44790,YPEL3-DT,NC_000016.10,30096430,gene,+
44791,GDPD3,NC_000016.10,30104810,gene,-
44791,GDE7,NC_000016.10,30104810,gene,-
44792,MAPK3,NC_000016.10,30114105,gene,-
44792,ERK-1,NC_000016.10,30114105,gene,-
44793,CORO1A-AS1,NC_000016.10,30183393,gene,-
44794,CORO1A,NC_000016.10,30183602,gene,+
44794,CLABP,NC_000016.10,30183602,gene,+
44795,BOLA2B,NC_000016.10,30192932,gene,-
44795,BOLA2,NC_000016.10,30192932,gene,-
44796,SLX1A,NC_000016.10,30193843,gene,+
44796,GIYD1,NC_000016.10,30193843,gene,+
44797,SLX1A-SULT1A3,NC_000016.10,30194433,gene,+
44797,HAST3,NC_000016.10,30194433,gene,+
44798,SULT1A3,NC_000016.10,30199255,gene,+
44798,HAST,NC_000016.10,30199255,gene,+
44799,LOC613038,NC_000016.10,30204316,gene,-
44800,LOC101929894,NC_000016.10,30209139,gene,+
44801,PLA2G10JP,NC_000016.10,30218220,gene,+
44802,NPIPB13,NC_000016.10,30222897,gene,-
44803,LOC124903798,NC_000016.10,30279248,gene,-
44804,SMG1P5,NC_000016.10,30285018,gene,-
44805,LOC100421031,NC_000016.10,30336321,gene,+
44806,CD2BP2,NC_000016.10,30350773,gene,-
44806,FWP010,NC_000016.10,30350773,gene,-
44807,CD2BP2-DT,NC_000016.10,30355434,gene,+
44808,TBC1D10B,NC_000016.10,30357102,gene,-
44808,EPI64B,NC_000016.10,30357102,gene,-
44809,MYL11,NC_000016.10,30370934,gene,+
44809,DA1C,NC_000016.10,30370934,gene,+
44810,SEPTIN1,NC_000016.10,30378135,gene,-
44810,DIFF6,NC_000016.10,30378135,gene,-
44811,ZNF48,NC_000016.10,30378312,gene,+
44811,ZNF553,NC_000016.10,30378312,gene,+
44812,ZNF771,NC_000016.10,30407606,gene,+
44812,DSC43,NC_000016.10,30407606,gene,+
44813,SNORA80C,NC_000016.10,30419625,gene,-
44814,DCTPP1,NC_000016.10,30423615,gene,-
44814,CDA03,NC_000016.10,30423615,gene,-
44815,SEPHS2,NC_000016.10,30443631,gene,-
44815,SPS2,NC_000016.10,30443631,gene,-
44816,ITGAL,NC_000016.10,30472742,gene,+
44816,CD11A,NC_000016.10,30472742,gene,+
44817,RNU7-61P,NC_000016.10,30483138,gene,-
44817,U7.61,NC_000016.10,30483138,gene,-
44818,ITGAL-AS1,NC_000016.10,30498430,gene,-
44819,MIR4518,NC_000016.10,30503919,gene,+
44819,mir-4518,NC_000016.10,30503919,gene,+
44820,ZNF768,NC_000016.10,30524004,gene,-
44821,ZNF747,NC_000016.10,30530367,gene,-
44822,ZNF747-DT,NC_000016.10,30535058,gene,+
44823,RPL7L1P16,NC_000016.10,30537004,gene,-
44824,LOC124903677,NC_000016.10,30541112,gene,-
44825,ZNF764,NC_000016.10,30553764,gene,-
44826,ZNF688,NC_000016.10,30569726,gene,-
44827,ZNF785,NC_000016.10,30578361,gene,-
44827,ZNF688,NC_000016.10,30578361,gene,-
44828,ZNF689,NC_000016.10,30602558,gene,-
44828,TIPUH1,NC_000016.10,30602558,gene,-
44829,LOC124903678,NC_000016.10,30610474,gene,+
44830,PRR14,NC_000016.10,30650778,gene,+
44831,FBRS,NC_000016.10,30658431,gene,+
44831,FBS,NC_000016.10,30658431,gene,+
44832,RNU6-416P,NC_000016.10,30675300,gene,-
44833,LOC730183,NC_000016.10,30697707,gene,-
44834,SRCAP,NC_000016.10,30699171,gene,+
44834,DEHMBA,NC_000016.10,30699171,gene,+
44835,RNU6-1043P,NC_000016.10,30701337,gene,-
44836,SNORA30,NC_000016.10,30710537,gene,+
44836,ACA30,NC_000016.10,30710537,gene,+
44837,TMEM265,NC_000016.10,30740642,gene,+
44837,IFITMD8,NC_000016.10,30740642,gene,+
44838,PHKG2,NC_000016.10,30748425,gene,+
44838,GSD9C,NC_000016.10,30748425,gene,+
44839,CFAP119,NC_000016.10,30757423,gene,-
44839,C16orf93,NC_000016.10,30757423,gene,-
44840,RNF40,NC_000016.10,30761612,gene,+
44840,BRE1B,NC_000016.10,30761612,gene,+
44841,ZNF629,NC_000016.10,30778456,gene,-
44841,ZNF,NC_000016.10,30778456,gene,-
44842,LOC124903679,NC_000016.10,30802360,gene,+
44843,LOC647086,NC_000016.10,30820873,gene,-
44844,BCL7C,NC_000016.10,30833626,gene,-
44844,SMARCJ3,NC_000016.10,30833626,gene,-
44845,MIR4519,NC_000016.10,30875266,gene,-
44846,MIR762HG,NC_000016.10,30875460,gene,+
44847,MIR762,NC_000016.10,30893903,gene,+
44847,hsa-mir-762,NC_000016.10,30893903,gene,+
